nazev_banky,mesto,banka_id,wkt
"Československá obchodní banka, a. s.","Hradec Králové ","csob","POINT(15.8222953258243 50.2110872039356)"
"UniCredit Bank Czech Republic and Slovakia, a.s."," Hradec Králové","unicredit","POINT(15.8230595137308 50.2132405138272)"
"Modrá pyramida stavební spořitelna, a.s.","Jičín","modra_pyramida","POINT(15.3539533115717 50.4346960172031)"
"Československá obchodní banka, a. s.","Hradec Králové ","csob","POINT(15.8229518643326 50.2110103438024)"
"UniCredit Bank Czech Republic and Slovakia, a.s."," Hradec Králové","unicredit","POINT(15.8234167471814 50.2104018524617)"
"Československá obchodní banka, a. s.","Vrchlabí ","csob","POINT(15.6115180482052 50.6271485054379)"
"Poštovní spořitelna","Hradec Králové","postovni_sporitelna","POINT(15.811855381448 50.2136676820663)"
"Raiffeisenbank a.s.","Hradec Králové","raiffeisenbank","POINT(15.8144874288516 50.213511899904)"
"Raiffeisen stavební spořitelna a.s.","Hradec Králové ","raiffeisen_stav","POINT(15.8291384701478 50.2093694202194)"
"Česká Spořitelna","Futurum        Hradec        Králové","ceska_sporitelna","POINT(15.8472351044968 50.1969482111699)"
"Raiffeisen stavební spořitelna a.s.","Trutnov ","raiffeisen_stav","POINT(15.9180446888892 50.5622554532619)"
"GE Money Bank, a.s.","Jičín","ge_money_bank","POINT(15.3543803058193 50.436481338867)"
"Wüstenrot","Hradec Králové","wustenrot","POINT(15.8148898685855 50.2137373021582)"
"Komerční banka, a.s.","Hradec Králové","komercni_banka","POINT(15.8296274307548 50.2125155196964)"
"GE Money Bank, a.s.","Hradec Králové","ge_money_bank","POINT(15.8532418267989 50.2121519730551)"
"Česká Spořitelna","Hradec        Králové        -        ČSA","ceska_sporitelna","POINT(15.8301778044567 50.2109608111991)"
"Modrá pyramida stavební spořitelna, a.s.","Náchod","modra_pyramida","POINT(16.167234234225 50.4172458532113)"
"Poštovní spořitelna","Jičín","postovni_sporitelna","POINT(15.3591703546418 50.435924832607)"
"Českomoravská stavební spořitelna, a.s.","Náchod","cmss","POINT(16.1637999741381 50.4167232245381)"
"mBank S.A., organizační složka","Hradec Králové","mbank","POINT(15.8157446752666 50.2137024726789)"
"Raiffeisen stavební spořitelna a.s.","Náchod ","raiffeisen_stav","POINT(16.1686754984304 50.4169265471427)"
"Modrá pyramida stavební spořitelna, a.s.","Nové Město nad Metují","modra_pyramida","POINT(16.1483773198932 50.3518268110863)"
"Wüstenrot","Dvůr Králové nad Labem","wustenrot","POINT(15.8138121957263 50.4264576926844)"
"Česká Spořitelna","Třebechovice","ceska_sporitelna","POINT(15.9940892048266 50.2007551111582)"
"Komerční banka, a.s.","Hradec Králové","komercni_banka","POINT(15.8469594355575 50.2157367017426)"
"Komerční banka, a.s.","Hořice","komercni_banka","POINT(15.6331219026134 50.3686194582122)"
"Wüstenrot","Trutnov","wustenrot","POINT(15.9145832937621 50.5614861454012)"
"Komerční banka, a.s.","Nová Paka","komercni_banka","POINT(15.5153509257808 50.4949064064189)"
"GE Money Bank, a.s.","Hostinné","ge_money_bank","POINT(15.7241419501879 50.5404037436531)"
"Wüstenrot","Náchod","wustenrot","POINT(16.1641739106651 50.4172321598343)"
"Komerční banka, a.s.","Trutnov","komercni_banka","POINT(15.9087530974269 50.5624596956483)"
"GE Money Bank, a.s.","Náchod","ge_money_bank","POINT(16.167234234225 50.4172458532113)"
