kod_obec,naz_obec,eao,dane_idx,nez_idx,cenovy_idx
576476,"Lípa nad Orlicí",701,274750.355,0.078497,11.712608
576701,"Rokytnice v Orlických horách",653,186697.639,0.077412,10.799552
574481,"Studnice",704,243133.654,0.052384,11.862784
570231,"Lhota pod Libčany",712,321806.087,0.077231,12.459136
570656,"Praskačka",706,255751.636,0.062595,12.219744
576271,"Dobruška",697,260007.16,0.057119,11.913632
573345,"Podůlší",724,241859.472,0.091844,11.247936
579025,"Trutnov",698,254070.622,0.092176,11.360192
570451,"Nechanice",711,227710.406,0.086998,11.841344
573922,"Broumov",645,316113.303,0.116522,11.088192
576204,"Černíkovice",682,227761.844,0.043228,11.77264
573124,"Libuň",715,266272.267,0.080223,11.841696
570508,"Nový Bydžov",663,222666.896,0.097047,10.801856
573353,"Bukvice",737,339092.904,0.058244,12.594336
570087,"Humburky",734,236727.646,0.104066,11.574656
579874,"Žacléř",634,210795.24,0.124174,9.982176
574082,"Hronov",680,219692.561,0.061957,11.301504
572926,"Hořice",682,232868.184,0.075674,11.128416
573868,"Náchod",700,241187.538,0.071475,11.53872
579858,"Vrchlabí",716,231956.583,0.075325,11.472192
569968,"Dobřenice",702,213467.272,0.07858,11.868576
573094,"Lázně Bělohrad",730,211653.885,0.075666,11.553568
574350,"Provodov-Šonov",726,227799.77,0.045052,12.052768
573752,"Vitiněves",658,234083.754,0.069253,11.323648
574465,"Stárkov",684,186983.568,0.043472,11.179648
579785,"Velké Svatoňovice",713,247331.539,0.092347,11.154816
579556,"Mostek",594,168987.95,0.099689,9.484992
573493,"Sobotka",682,277222.304,0.056621,11.690816
574279,"Nové Město nad Metují",710,288455.129,0.056576,12.153312
574341,"Police nad Metují",683,222039.926,0.05519,11.436832
569984,"Dolní Přím",726,305276.469,0.070418,12.621376
579050,"Bernartice",635,225238.392,0.113858,10.33744
579203,"Dvůr Králové nad Labem",687,260674.492,0.091179,11.303008
571083,"Vinary",600,213567.047,0.092034,9.736576
576140,"Borovnice",712,261032.12,0.062452,11.73856
572918,"Holovousy",690,217988.285,0.098622,10.95264
579378,"Jívka",558,194121.273,0.077904,10.276064
573256,"Šárovcova Lhota",681,266065.547,0.120212,10.689216
573248,"Nová Paka",693,254131.419,0.072454,11.59264
570931,"Stěžery",714,303044.757,0.07979,12.440352
573507,"Stará Paka",692,197186.22,0.099486,10.596288
572705,"Boháňka",681,215146.739,0.104561,10.354848
572659,"Jičín",681,275462.771,0.062295,11.83136
579068,"Bílá Třemešná",679,220918.055,0.077439,11.205024
569810,"Hradec Králové",722,326637.088,0.066817,12.24848
549100,"Brada-Rybníček",676,421823.575,0.093137,11.691136
