kod_zsj_d;ekonomicky_akt_muzi;ekonomicky_akt_zeny;ea_zamestnani_muzi;ea_zamestnani_zeny;ea_nezamestatni_muzi;ea_nezamestatni_zeny;ea_materska_dovolena;ea_duchodci_muzi;ea_duchodci_zeny;ea_studenti_muzi;ea_studenti_zeny;ea_hledajici_prvni_zamestanani_muzi;ea_hledajici_prvni_zamestanani_zeny;pocet_hosp_domacnosti;pocet_domu;pocet_bytu;pocet_obyvatel;muzi_celk;zeny_celk;muzi0_15;zeny0_15;muzi15_65;zeny15_65;muzi65plus;zeny65plus;pocet_domacnosti
0770200;1;;1;;;;;;;;;;;4;16;13;4;3;1;;;1;;2;1;4
1630400;;;;;;;;;;;;;;;198;;;;;;;;;;;0
1265430;50;51;50;49;;2;1;3;3;;;;;74;;81;201;102;99;17;12;70;65;14;21;74
1201110;3;2;2;2;1;;;1;;;;;;4;193;23;11;5;6;;1;5;4;;1;4
0972330;3;;3;;;;;;;;;;;4;10;6;10;6;4;;1;3;1;3;2;5
0216872;2;1;1;1;1;;;;;;;1;1;1;169;1;3;2;1;;;2;1;;;1
3123120;2;1;2;1;;;;;;1;;;;1;;3;4;2;2;;;2;2;;;1
0936450;5;4;4;4;1;;;;;;1;;;5;28;7;19;9;10;;;5;6;4;4;5
1339060;22;17;20;16;2;1;1;1;1;;;2;2;26;114;32;70;39;31;7;1;27;22;5;8;26
1881310;2;2;2;2;;;;1;;;;;;3;151;18;6;3;3;;;3;3;;;3
1734610;1;;1;;;;;;;;;;;1;59;1;5;4;1;3;;1;1;;;1
1234040;1;2;1;2;;;;;;;;;;6;485;12;11;7;4;2;;2;3;3;1;6
1956690;13;11;13;11;;;;;;;;;;24;;47;49;24;25;;2;19;14;5;9;24
1374560;92;72;86;67;6;5;2;3;2;;;;;143;52;184;358;171;187;32;34;120;131;19;22;145
0266030;8;5;8;3;;2;;;;;;;;8;6;11;26;14;12;2;2;9;8;3;2;8
1554620;5;4;5;3;;1;;;;;;;;8;152;13;21;12;9;4;2;8;6;;1;8
1378120;;1;;1;;;;;;;;;;3;98;17;4;1;3;;;;1;1;2;3
0134710;;;;;;;;;;;;;;;130;7;;;;;;;;;;0
0436480;17;6;16;6;1;;;;;;;;;19;6;32;53;31;22;7;2;19;13;5;7;20
0968140;;;;;;;;;;;;;;;17;;;;;;;;;;;1
1630660;8;6;7;6;1;;;;;;;;;10;67;18;25;14;11;2;3;10;8;2;;10
0917310;6;4;6;3;;1;;;;;;;;7;48;12;20;12;8;3;1;7;5;2;2;8
1554542;;;;;;;;;;;;;;;43;;;;;;;;;;;1
0011120;1;2;1;2;;;;;;;;;;2;90;10;3;1;2;;;1;2;;;2
0972761;;;;;;;;;;;;;;2;2;3;3;1;2;;;;;1;2;2
0064750;;;;;;;;;;;;;;;335;;;;;;;;;;;0
3122740;;;;;;;;;;;;;;;2;;;;;;;;;;;0
1486612;2;1;2;1;;;;;;;;;;1;12;1;5;4;1;1;;3;1;;;1
0258440;;;;;;;;;;;;;;;59;;;;;;;;;;;1
0791542;;;;;;;;;;;;;;;1;;;;;;;;;;;2
1691700;;;;;;;;;;;;;;;16;;;;;;;;;;;0
3127620;;;;;;;;;;;;;;;;;;;;;;;;;;0
1942390;;;;;;;;;;;;;;;184;;;;;;;;;;;1
3035180;;;;;;;;;;;;;;;7;;;;;;;;;;;0
1051630;14;19;14;16;;3;;1;;;1;;;26;135;39;67;34;33;4;3;25;28;5;2;26
1403090;47;36;45;35;2;1;1;;3;1;1;;;56;193;74;159;81;78;15;13;63;52;2;12;57
0596500;10;7;10;7;;;;1;;;;;;15;;22;40;18;22;3;4;11;11;4;7;15
1461110;6;4;5;4;1;;;;;;;;;13;134;27;32;15;17;5;2;10;11;;4;13
3283160;2;1;2;1;;;;;;;;;;3;;8;5;3;2;;;3;2;;;3
0070562;;;;;;;;;;;;;;;12;;;;;;;;;;;0
3127710;6;8;6;8;;;;1;;;;;;8;6;9;19;7;12;;1;7;10;;1;8
1784380;1;;1;;;;;;;;;;;1;8;6;4;2;2;1;1;1;1;;;1
3120880;2;2;2;2;;;1;;;;;;;4;7;5;9;5;4;1;1;2;2;2;1;4
3214940;;;;;;;;;;;;;;;26;;;;;;;;;;;1
3284130;;;;;;;;;;;;;;;;;;;;;;;;;;0
0918120;;1;;1;;;;;;;;;;3;17;11;3;1;2;;;;1;1;1;3
3178960;;;;;;;;;;;;;;;160;;;;;;;;;;;0
1521290;3;1;3;1;;;;;;;;;;9;14;29;18;9;9;2;1;4;2;3;6;9
3123390;2;1;2;1;;;;;;1;;;;1;;3;3;2;1;;;2;1;;;1
1188932;1;2;1;2;;;;;;;;;;1;51;1;3;1;2;;;1;2;;;1
