osm_id,name,type,wkt
1066643445,,"yes","POINT(16.1659016 50.461103)"
2087417946,,"atm","POINT(16.150787 50.3512071)"
317936814,,"crossing","POINT(15.8405072 50.2107322)"
317936832,,"crossing","POINT(15.8382432 50.2123449)"
317936852,,"crossing","POINT(15.8399168 50.211272)"
317936868,,"crossing","POINT(15.8385579 50.2122965)"
317936988,,"crossing","POINT(15.8471498 50.2040825)"
418080127,,"fuel","POINT(16.0158972 50.5137791)"
443979554,,"memorial","POINT(15.9046451 50.5547094)"
459184332,,"school","POINT(15.6811823 50.4026987)"
459191820,,"memorial","POINT(15.6803778 50.4000494)"
462698576,,"information","POINT(15.7278512 50.6738944)"
462698578,,"picnic_site","POINT(15.7276529 50.6738386)"
462698591,,"information","POINT(15.7276474 50.6877165)"
471044312,,"crossing","POINT(15.8331019 50.2175478)"
656391546,,"florist","POINT(15.814985 50.4328538)"
656502667,,"hotel","POINT(15.583245 50.6817741)"
942679982,,"pub","POINT(16.1624177 50.4160986)"
1264769195,,"bench","POINT(16.1781209 50.413016)"
2308937817,,"crossing","POINT(16.2148154 50.5216044)"
2511897758,,"information","POINT(15.9808516 50.4856935)"
3116721294,,"bench","POINT(15.7617036 50.5250961)"
3180249949,,"bench","POINT(16.041658 50.452409)"
25284021,"Hradec Králové-Kukleny","halt","POINT(15.7985166 50.2022861)"
25284025,"Hradec Králové zastávka","halt","POINT(15.8412394 50.2224093)"
25284041,"Smiřice","station","POINT(15.8579042 50.2999808)"
25284046,"Ruprechtice","halt","POINT(16.2681446 50.6248076)"
25284051,"Nové Město nad Cidlinou","station","POINT(15.5021909 50.1502184)"
25284061,"Náchod-Malé Poříčí","halt","POINT(16.1927371 50.4411318)"
25284070,"Náchod-Běloves","halt","POINT(16.1920783 50.4270477)"
25284078,"Náchod zastávka","halt","POINT(16.1520188 50.4084128)"
25284105,"Kratonohy","halt","POINT(15.6109522 50.1575452)"
25284112,"Hronov zastávka","halt","POINT(16.1862399 50.4902305)"
25284142,"Černožice","halt","POINT(15.8695808 50.3155531)"
25284151,,"level_crossing","POINT(15.8195856 50.2230797)"
25284158,,"level_crossing","POINT(15.8184113 50.2468233)"
25284176,"Semonice","halt","POINT(15.8774081 50.331596)"
25284203,,"crossing","POINT(15.9218506 50.3469696)"
25284373,,"level_crossing","POINT(16.1821305 50.4631988)"
25284376,,"level_crossing","POINT(16.1749621 50.4774899)"
25284380,,"level_crossing","POINT(16.1824186 50.4868334)"
25284513,,"crossing","POINT(16.2471873 50.6208823)"
25284680,,"level_crossing","POINT(15.8077584 50.2074193)"
25284751,,"level_crossing","POINT(15.5310131 50.1526135)"
25284760,,"level_crossing","POINT(15.4612174 50.1618066)"
25808394,"U Krásné Pláně","information","POINT(15.6160548 50.690507)"
25812711,,"information","POINT(15.6467973 50.6973496)"
25962045,"Lochenice","halt","POINT(15.8245379 50.272899)"
25986742,"Žireč","halt","POINT(15.8491021 50.4031828)"
25986756,"Dvůr Králové nad Labem","station","POINT(15.79839 50.4137318)"
25986757,,"level_crossing","POINT(15.7944293 50.4147085)"
25986843,,"level_crossing","POINT(15.6579727 50.500161)"
25988332,,"level_crossing","POINT(15.4585253 50.5152814)"
26861148,"Dolce Vita","camp_site","POINT(15.8625 50.545556)"
26861161,"Liščí Farma","camp_site","POINT(15.602222 50.610278)"
26861166,"Milovice","camp_site","POINT(15.6287785 50.3295425)"
26861171,"Orlice","camp_site","POINT(16.218611 50.116111)"
26861196,"Vrchlabi","camp_site","POINT(15.640556 50.624167)"
29265139,,"incline","POINT(15.731549 50.7378323)"
29265201,,"incline","POINT(15.7393563 50.7363012)"
29265205,,"viewpoint","POINT(15.7397546 50.7357932)"
30374408,"Sedlice","motorway_junctio","POINT(15.7329579 50.1486654)"
30376829,,"traffic_signals","POINT(15.7787837 50.2017384)"
30377582,,"traffic_signals","POINT(15.8181224 50.1994484)"
30377817,,"traffic_signals","POINT(15.8418435 50.2018687)"
