kod_obec;naz_obec;lau1;kod_okres;naz_okres;kod_orp;naz_orp;pocet_casti_obce;pocet_zsj;geom4326
549070;Březina;CZ0522;40576;Jičín;5207;Jičín;1;1;MULTIPOLYGON(((15.3197418111035 50.4421667550651,15.320098605409 50.4391334938675,15.3190963851498 50.434819714474,15.3116479294482 50.428804388559,15.3069843453627 50.4298535568703,15.298458214918 50.4325047898252,15.297296760316 50.43311003365,15.2975137737417 50.434044395217,15.2984738151293 50.4336092665462,15.2999553983897 50.4341434377812,15.3031274569683 50.4356814131061,15.305171027505 50.4377603839459,15.3119700907597 50.4413272629329,15.3150980783215 50.4422471967631,15.3197418111035 50.4421667550651)))
549088;Dolní Lochov;CZ0522;40576;Jičín;5207;Jičín;1;1;MULTIPOLYGON(((15.2934027482834 50.4583803551935,15.2918407085435 50.4502608088888,15.2897275014314 50.4486339486419,15.2779912145607 50.4496991828951,15.2761010979142 50.4512139189563,15.2714600003292 50.4531794297506,15.2699900600438 50.454726455493,15.2691149314019 50.4605134277652,15.2707003963901 50.4611254154169,15.2768809363823 50.4588080721708,15.2834591705857 50.458050697547,15.2883885700487 50.4585062485345,15.2934027482834 50.4583803551935)))
549096;Staré Místo;CZ0522;40576;Jičín;5207;Jičín;1;1;MULTIPOLYGON(((15.3554160300403 50.4134955940226,15.3545586239828 50.4114934230775,15.3544288216012 50.4063462150674,15.35581436556 50.4050089727432,15.3574003324874 50.4044650500456,15.347973149928 50.3980997423676,15.3455566370282 50.391203544433,15.3461342559431 50.3881960291189,15.3407088032826 50.3876984855247,15.3384967534129 50.3876220905849,15.3387805304078 50.3893615157468,15.3393430571024 50.3954063287405,15.3347487252559 50.4030260316797,15.3351271084548 50.4052064671744,15.3367995618725 50.4078185732413,15.341978288777 50.4127965981248,15.3512837437023 50.4157486639471,15.3554160300403 50.4134955940226)))
549100;Brada-Rybníček;CZ0522;40576;Jičín;5207;Jičín;2;3;MULTIPOLYGON(((15.329504359243 50.4746339353289,15.331129466515 50.4739331138189,15.3392902286981 50.4674178617439,15.3398226542149 50.4663412143938,15.3389078046892 50.4654196023015,15.3435548668616 50.4578508929071,15.3412005521677 50.4564417139296,15.3401770097703 50.455078440439,15.3422845696065 50.4501457748691,15.3367953910274 50.4517964747607,15.3349036543454 50.4524552537069,15.3321403488717 50.4564533502342,15.3247934692979 50.4686889466183,15.3234094232749 50.473194366757,15.329504359243 50.4746339353289)))
549282;Butoves;CZ0522;40576;Jičín;5207;Jičín;1;1;MULTIPOLYGON(((15.4274987509187 50.389735437173,15.4312716056873 50.3896700683616,15.4342245430104 50.3871136573379,15.4412395459491 50.3878765269142,15.4458774560932 50.3870676817012,15.4452447582768 50.3854409195734,15.4446595274682 50.3839219866055,15.4441529090926 50.3836956695618,15.4408469208675 50.3835456216183,15.4315761267451 50.3804609816751,15.429703006421 50.3789526795492,15.4189961129874 50.3800310113057,15.4157071026514 50.3875394981078,15.4198670018214 50.3888747413707,15.4234760675137 50.3908622358754,15.4287055127393 50.3905537573656,15.4289948279746 50.3902198532917,15.4274987509187 50.389735437173)))
530671;Pšánky;CZ0521;40568;Hradec Králové;5205;Hradec Králové;1;1;MULTIPOLYGON(((15.6273465291756 50.3081987231185,15.6274028190833 50.3009522173088,15.6294483721919 50.2994276388298,15.6301759970055 50.2993943884611,15.6324576347445 50.2978144738582,15.6304308300426 50.2914966961959,15.6296802725107 50.2876526303636,15.627732867696 50.2855689875304,15.6277198725623 50.2843701311207,15.6180729022267 50.2841677361466,15.6170083154295 50.2851025878263,15.6128748337872 50.2906657074291,15.6129711532749 50.2935804461456,15.6134129924754 50.2942095440675,15.6147807139054 50.2947452912684,15.612091180116 50.295253414465,15.6132699756266 50.2972645948865,15.6148638937416 50.2967342607101,15.6216738091004 50.2993979621276,15.6210044294088 50.3014724995576,15.6178522809354 50.3034205273296,15.6229659602186 50.3032797416621,15.620474439382 50.3051104498251,15.6189789432944 50.3070067646184,15.6188929993744 50.308099046149,15.6273465291756 50.3081987231185)))
572047;Kyje;CZ0522;40576;Jičín;5207;Jičín;1;1;MULTIPOLYGON(((15.3841957456176 50.5052433456457,15.3830612214227 50.5035773370911,15.3831126000476 50.4960584000511,15.3835886255516 50.4948880011146,15.3854791885063 50.4933940254509,15.389025077836 50.4926596967509,15.3914334569542 50.4919437918338,15.3916521783869 50.491563552902,15.3907008613168 50.4903710726535,15.3897841955601 50.4898616625881,15.3791341554859 50.4913979017881,15.3698579534819 50.4954810261323,15.3709479028729 50.4959086249287,15.3713337271244 50.4969101034498,15.3714442279363 50.4999493056929,15.3708739368062 50.502591018413,15.3714429740296 50.5038159654474,15.3794796374052 50.5085873374407,15.3811899762262 50.5076595713156,15.3841957456176 50.5052433456457)))
570010;Hněvčeves;CZ0521;40568;Hradec Králové;5205;Hradec Králové;1;1;MULTIPOLYGON(((15.7109075563109 50.3235802672467,15.7104275128317 50.3223343679344,15.7180289146677 50.3216487188203,15.7180324724798 50.3222905999368,15.7265069000677 50.3212458428141,15.7274842302376 50.3185228625522,15.7250213112353 50.3156487475466,15.7246838464379 50.3146457605596,15.7256170759975 50.3075078647134,15.7231837366537 50.305447839678,15.7204253559771 50.3054392596883,15.7147828036614 50.3049013665228,15.6983944554645 50.3138297251247,15.697300071557 50.3147857447362,15.700322486505 50.3180653124789,15.6983624586027 50.3197338603841,15.7023962242162 50.319406086118,15.7022303240994 50.3202172136129,15.7012045685478 50.3207901936405,15.7008870454986 50.3215010912201,15.7030360614172 50.3219282090895,15.7109075563109 50.3235802672467)))
549118;Dílce;CZ0522;40576;Jičín;5207;Jičín;1;1;MULTIPOLYGON(((15.368793655403 50.4676593859601,15.3701585134199 50.4674896337893,15.3729432643861 50.4628278932324,15.3663287945397 50.4596203565268,15.3637393733951 50.4592035577147,15.3625298544592 50.4597927310158,15.3430836564449 50.4629810068763,15.3413838676222 50.4639637290345,15.3398226542149 50.4663412143938,15.3392902286981 50.4674178617439,15.3493097822862 50.4686291807727,15.3523358090628 50.4695777331337,15.3558269323952 50.4728853403117,15.3627700744386 50.4702224384288,15.3647255894157 50.4683063743573,15.368793655403 50.4676593859601)))
547646;Velké Poříčí;CZ0523;40584;Náchod;5209;Náchod;1;1;MULTIPOLYGON(((16.2139164164004 50.4659046835072,16.2197550548735 50.459925727351,16.2196784775015 50.4575407354943,16.2190870064989 50.4566267756842,16.2108692576124 50.4516793325583,16.2109259239452 50.4501233080969,16.2049121968635 50.4484903944409,16.2032386419609 50.4484740953666,16.2000021877986 50.4470738496638,16.1972732655375 50.4452019481602,16.1896760449447 50.4489831395262,16.1841306409967 50.4509398223159,16.1799440686542 50.4504502730893,16.17726779561 50.4553386769093,16.1757717794077 50.4597157046853,16.1755988820161 50.4609013642838,16.1612278726847 50.4653985161439,16.1659863548328 50.4663905780173,16.1763948653297 50.470571473431,16.180005997853 50.4716434832728,16.1936075648894 50.4740877442242,16.2037981145303 50.4750894997596,16.2082933827695 50.4746163377369,16.2107856617011 50.4739479981765,16.208198271622 50.4722317815668,16.2097573653305 50.4683042312496,16.2139164164004 50.4659046835072)))
