id;kod_zsj_d;naz_zsj_d;kod_zsj;naz_zsj;kod_cast_obec;naz_cast_obec;kod_cast_d;naz_cast_d;kod_ku;naz_ku;kod_obec;naz_obec;kod_zuj;naz_zuj;lau1;kod_okres;naz_lau1;cznuts3;kod_kraj;naz_cnuts3;naz_okres;naz_kraj;kod_orp;naz_orp;geom4326
16220;1583480;Studénka;158348;Studénka;158348;Studénka;158348;Studénka;758345;Studénka u Nové Paky;573248;Nová Paka;573248;Nová Paka;CZ0522;40576;Jičín;CZ052;3085;Královéhradecký kraj;Jičín;Královéhradecký;5210;Nová Paka;MULTIPOLYGON(((15.5131394930106 50.4782004776236,15.5115500009937 50.4761536282253,15.5120821033134 50.4763754336809,15.513823347541 50.4757180598281,15.5134306377301 50.4754967029231,15.5142086887549 50.4749611294342,15.5137450138501 50.4746311553724,15.5122162498775 50.4750200478104,15.5116116383412 50.474554742092,15.5109778684853 50.4747105554551,15.5089046164124 50.4669723762845,15.5061932352411 50.4656497757941,15.5033932166977 50.4667289457318,15.5023528772247 50.467796299987,15.5019337072147 50.4677804245496,15.5024955404822 50.4696706333031,15.5016718063179 50.4713661733516,15.502551889789 50.4748171009825,15.5020317463656 50.4755310179897,15.5030055705038 50.4765429302602,15.5024780081252 50.4767183003038,15.5050150467356 50.4797768692194,15.5049137931932 50.4788887678933,15.5060961162221 50.4783185951537,15.5094443265845 50.4787644590834,15.509147348641 50.4783670102463,15.5109409519141 50.4784922872267,15.5131394930106 50.4782004776236)))
15923;1554542;Stěžery díl 2;155454;Stěžery;155471;Stěžírky;155471;Stěžírky;755451;Stěžery;570931;Stěžery;570931;Stěžery;CZ0521;40568;Hradec Králové;CZ052;3085;Královéhradecký kraj;Hradec Králové;Královéhradecký;5205;Hradec Králové;MULTIPOLYGON(((15.7377202794223 50.2242274647685,15.7379666300287 50.2245693144251,15.7389022623473 50.2238669813551,15.7377202794223 50.2242274647685)))
14688;1434050;Janovice;143405;Janovice;143421;Rudník;143421;Rudník;743429;Rudník;579645;Rudník;579645;Rudník;CZ0525;40606;Trutnov;CZ052;3085;Královéhradecký kraj;Trutnov;Královéhradecký;5215;Vrchlabí;MULTIPOLYGON(((15.760818595292 50.5924260644881,15.7548265913072 50.5922167933403,15.754231878234 50.5912843641146,15.7533787889783 50.5908714869596,15.7493018113094 50.5898392567967,15.7496311602639 50.5872338489664,15.7493644098282 50.5858527504318,15.749961175391 50.5841894102267,15.7502884808716 50.5842069642853,15.7508598711055 50.5833694860146,15.7454962988671 50.5836451901909,15.7406278569473 50.5833761620106,15.7407709372755 50.5874796781781,15.7395836814679 50.5907971811958,15.7415693410731 50.5982724712034,15.7449857788859 50.5992653748881,15.746634559675 50.6010600568916,15.7505536012495 50.6012672087859,15.7519589582996 50.6020966693817,15.7536168152175 50.6025996091063,15.7570596270136 50.6052355229252,15.757772080034 50.6050350702315,15.7580829253006 50.6045489165891,15.7598166268273 50.6050037645185,15.7611495373084 50.6060595614488,15.7619986505976 50.605708780927,15.7630611435516 50.6060735391609,15.76423547375 50.6072603831452,15.7614528364876 50.5995834801821,15.760818595292 50.5924260644881)))
16692;1629810;Brádlerovy boudy;162981;Brádlerovy boudy;163091;Špindlerův Mlýn;163091;Špindlerův Mlýn;763098;Špindlerův Mlýn;579742;Špindlerův Mlýn;579742;Špindlerův Mlýn;CZ0525;40606;Trutnov;CZ052;3085;Královéhradecký kraj;Trutnov;Královéhradecký;5215;Vrchlabí;MULTIPOLYGON(((15.6017431095215 50.776704575023,15.5986735755877 50.7695681516018,15.5965935734166 50.768468923332,15.5891422181626 50.7667293956673,15.5898483291471 50.7654352926359,15.5870492831511 50.7643433956823,15.5850308902486 50.7641204257433,15.583898765382 50.7646531055906,15.5814953249454 50.7673857187317,15.5788636278218 50.7789683393389,15.581458401101 50.7783483785957,15.5842311854238 50.7787201931277,15.5870304463597 50.7785354260283,15.5917781336586 50.7769442904807,15.59472238696 50.7767798194429,15.5981681194887 50.7770031606278,15.6017431095215 50.776704575023)))
1014;0097922;Brdo díl 2;009792;Brdo;153826;Stará Paka;153826;Stará Paka;609790;Brdo;573507;Stará Paka;573507;Stará Paka;CZ0522;40576;Jičín;CZ052;3085;Královéhradecký kraj;Jičín;Královéhradecký;5210;Nová Paka;MULTIPOLYGON(((15.4851948401113 50.5015378387429,15.4813800731072 50.5022549437441,15.4816093119841 50.5036647855966,15.4832854035709 50.5043192969939,15.4858178452777 50.5028420538766,15.4851948401113 50.5015378387429)))
613;0059322;Boháňka díl 2;005932;Boháňka;005959;Skála;005959;Skála;605930;Boháňka;572705;Boháňka;572705;Boháňka;CZ0522;40576;Jičín;CZ052;3085;Královéhradecký kraj;Jičín;Královéhradecký;5204;Hořice;MULTIPOLYGON(((15.7004337820019 50.3777555581099,15.7004057088871 50.3783110150929,15.7012450109246 50.376933941496,15.7008625961501 50.3768376390201,15.7004337820019 50.3777555581099)))
20738;3036232;Jarošov díl 2;303623;Jarošov;410225;Valdické Předměstí;410225;Valdické Předměstí;659541;Jičín;572659;Jičín;572659;Jičín;CZ0522;40576;Jičín;CZ052;3085;Královéhradecký kraj;Jičín;Královéhradecký;5207;Jičín;MULTIPOLYGON(((15.355892920551 50.441626178982,15.354216862216 50.4404284512866,15.3533533611037 50.4410405035986,15.3556100929727 50.4418000348291,15.355892920551 50.441626178982)))
10939;1063560;Nové Lesy;106356;Nové Lesy;106356;Nové Lesy;106356;Nové Lesy;706353;Nové Lesy;579068;Bílá Třemešná;579068;Bílá Třemešná;CZ0525;40606;Trutnov;CZ052;3085;Královéhradecký kraj;Trutnov;Královéhradecký;5203;Dvůr Králové nad Labem;MULTIPOLYGON(((15.7802046888644 50.4386471378356,15.7797792990011 50.4368910976854,15.7778957028878 50.4333433849958,15.7764910846292 50.433549721835,15.7714287320723 50.4259410963742,15.7693278898904 50.4264739579836,15.7689932468202 50.4268023685431,15.7674830138726 50.4268596026896,15.7643354988029 50.4285182641482,15.7581523378522 50.4301404277398,15.7552764000179 50.4324406973999,15.7530288754757 50.4333415569468,15.7518978634687 50.4334420247167,15.7524868857184 50.4347084932502,15.7538850489414 50.4361663538512,15.7557629047697 50.4372625624152,15.7571441786409 50.4400838581394,15.7605166384112 50.445078462331,15.7619557828816 50.4459990040548,15.7692321574544 50.4421187956035,15.7704223921045 50.4416668438827,15.771623427684 50.4419111026284,15.7716137964595 50.4414362144223,15.7738130542547 50.4402921350403,15.7799772927133 50.4402148528046,15.7802046888644 50.4386471378356)))
12455;1212150;Plačice;121215;Plačice;121215;Plačice;121215;Plačice;721212;Plačice;569810;Hradec Králové;569810;Hradec Králové;CZ0521;40568;Hradec Králové;CZ052;3085;Královéhradecký kraj;Hradec Králové;Královéhradecký;5205;Hradec Králové;MULTIPOLYGON(((15.7746828207433 50.2075006784612,15.7794443115202 50.2071225655999,15.7786731908285 50.2022580277633,15.7794875963334 50.2007579290747,15.7821954706954 50.1994516429503,15.7825463081198 50.1985093178731,15.7848441017657 50.195766836413,15.7880654768194 50.1985023057607,15.7908848422089 50.1972930760977,15.7756599361514 50.1878441542681,15.7588052996363 50.1826206121595,15.7554171302011 50.1833094865951,15.7592487799604 50.1848334776049,15.7632246928411 50.1871422831901,15.7572167054974 50.1991006721962,15.7598590413795 50.2005660722945,15.7680591811513 50.2014196915981,15.7714046394454 50.201453289311,15.7710024794503 50.2036990053863,15.7714276157351 50.2104007247733,15.7719915435752 50.2136478482156,15.7728012393481 50.2155629615902,15.7742183984556 50.2151501843926,15.7726904261576 50.2076708756948,15.7746828207433 50.2075006784612)))
1690;0166410;Bystré;016641;Bystré;016641;Bystré;016641;Bystré;616648;Bystré v Orlických horách;576166;Bystré;576166;Bystré;CZ0524;40592;Rychnov nad Kněžnou;CZ052;3085;Královéhradecký kraj;Rychnov nad Kněžnou;Královéhradecký;5202;Dobruška;MULTIPOLYGON(((16.2719419518072 50.3293222588031,16.2715810190774 50.3283590255691,16.2730584214192 50.3275480696797,16.2746888932663 50.3276044201818,16.276902836688 50.3282976614328,16.2778149118133 50.3272831882249,16.2774994436797 50.3269459201635,16.2776677774758 50.3246280000612,16.2772624649679 50.324041165215,16.271171984098 50.3226071969238,16.2703131809572 50.3218202515133,16.2675078233162 50.3214018813476,16.2680221671573 50.3193463959275,16.266763844687 50.3188338633664,16.2679517323569 50.3176230433191,16.2663235591556 50.3169192797334,16.2658901426149 50.3173098333315,16.2652082791337 50.317049743453,16.2657931468565 50.3158836350867,16.2652970534275 50.3145677700481,16.2645624227902 50.3143417456244,16.264826953442 50.3141782032858,16.2639034768163 50.3135399408243,16.2622168761003 50.3134301258398,16.2613424823391 50.3127642726572,16.260543632247 50.3098535152183,16.261644468892 50.3092674799954,16.2615350227798 50.3076877795135,16.2581288731185 50.3078308273893,16.2579815154893 50.3089891938358,16.2557222053992 50.3094205606688,16.2527541124599 50.3091466895023,16.2524622824107 50.3100808736147,16.2499207990107 50.3114699127146,16.2484989060057 50.3126703045676,16.2489448148738 50.3131735348796,16.2508151138453 50.315424857887,16.2515475437738 50.3170627187367,16.2514099350026 50.3184121553055,16.2495749148327 50.3222153752781,16.2491150315508 50.3250976895292,16.2467322311526 50.3290767491014,16.2470599003478 50.3307654751407,16.2473991673792 50.3308157551273,16.2532404584768 50.3282627394595,16.2554900627768 50.3276009587241,16.2581153752256 50.3272748436179,16.2613075483615 50.3278188738563,16.2642765141865 50.3287948903237,16.2688601492059 50.3285185763477,16.2696914241833 50.3290258718301,16.2719419518072 50.3293222588031)))
