KOD;NAZEV;POPIS;ZKRACENY_NAZEV;ZACATEK_PLATNOSTI;KONEC_PLATNOSTI
1;Cihly, tvárnice, cihlové bloky;Cihly, tvárnice, cihlové bloky;Cihly, tvárnice;01.01.1900 00:00:00;
2;Kámen;Kámen;Kámen;01.01.1900 00:00:00;
3;Kámen a cihly;Kámen a cihly;Kámen a cihly;01.01.1900 00:00:00;
4;Stěnové panely;Stěnové panely;Stěnové panely;01.01.1900 00:00:00;
5;Nepálené cihly;Nepálené cihly;Nepálené cihly;01.01.1900 00:00:00;
6;Dřevo;Dřevo;Dřevo;01.01.1900 00:00:00;
7;Jiné materiály a kombinace;Jiné materiály a kombinace;Jiné materiály a kombinace;01.01.1900 00:00:00;
8;Nedefinováno;Nedefinováno;Nedefinováno;01.01.1900 00:00:00;
9;Nezjištěno;Nezjištěno;Nezjištěno;01.01.1900 00:00:00;
10;Kámen, cihly, tvárnice vč. kombinací;Kámen, cihly, tvárnice vč. kombinací;Kámen, cihly, tvárnice ;20.05.2013 00:00:00;
