tok_id,naz_tok,rec_naz,wkt
"100010000100","Labe","Labe","MULTIPOLYGON(((15.93051 50.35419,15.93699 50.35009,15.93718 50.35022,15.93713 50.35014,15.93701 50.35007,15.93695 50.35005,15.9368 50.34996,15.93673 50.34994,15.93668 50.3499,15.93664 50.34989,15.93659 50.34989,15.93653 50.34988,15.93645 50.34983,15.93634 50.34979,15.93624 50.34977,15.93618 50.34978,15.93607 50.34975,15.93604 50.34976,15.93591 50.34974,15.93588 50.34974,15.93582 50.34976,15.93551 50.34973,15.93538 50.3497,15.93518 50.34967,15.93493 50.3496,15.93469 50.34957,15.93464 50.34955,15.93456 50.34952,15.93434 50.34948,15.93416 50.34943,15.93401 50.34941,15.93328 50.34924,15.93315 50.34917,15.93309 50.34916,15.93294 50.34901,15.93279 50.3489,15.93274 50.34883,15.9327 50.34872,15.93265 50.34866,15.9326 50.34862,15.93255 50.34855,15.93253 50.3485,15.93251 50.34841,15.93242 50.34827,15.93232 50.34819,15.93226 50.34815,15.93223 50.34813,15.93225 50.34811,15.93225 50.34807,15.93223 50.34807,15.93215 50.34807,15.93211 50.34808,15.93194 50.34807,15.93188 50.34808,15.93186 50.34806,15.9318 50.34807,15.93177 50.34806,15.93171 50.34808,15.93157 50.34809,15.93142 50.34806,15.93135 50.34802,15.9313 50.34804,15.93127 50.34803,15.93127 50.34802,15.93128 50.34797,15.92934 50.34795,15.92933 50.34798,15.9293 50.348,15.92923 50.34803,15.9292 50.34803,15.92912 50.34802,15.92897 50.34804,15.92887 50.34802,15.92867 50.34801,15.92858 50.34803,15.92856 50.34801,15.92852 50.34801,15.92825 50.34801,15.92821 50.34803,15.92818 50.34803,15.92808 50.34801,15.92805 50.34801,15.92802 50.34802,15.92794 50.348,15.92785 50.34801,15.92776 50.34801,15.92774 50.34801,15.92773 50.34803,15.92765 50.34803,15.92745 50.34802,15.92731 50.348,15.92723 50.34801,15.92714 50.348,15.9271 50.348,15.927 50.34802,15.92694 50.34802,15.92683 50.34801,15.92675 50.34801,15.92666 50.34799,15.92658 50.348,15.9263 50.34799,15.92618 50.34799,15.92604 50.34801,15.9259 50.348,15.92588 50.34801,15.9259 50.34809,15.92605 50.34827,15.9262 50.34852,15.92639 50.34872,15.92643 50.34876,15.92647 50.34885,15.92654 50.3489,15.92658 50.34895,15.9266 50.34901,15.92666 50.34904,15.92668 50.34907,15.92671 50.34918,15.92674 50.34922,15.92676 50.34925,15.92676 50.34931,15.92679 50.34937,15.92679 50.34944,15.92684 50.34946,15.92684 50.34957,15.92688 50.34963,15.92695 50.34981,15.92693 50.34985,15.92692 50.34994,15.92694 50.34997,15.92691 50.35006,15.92693 50.35014,15.9269 50.35019,15.92689 50.3503,15.92688 50.35039,15.92689 50.35046,15.92684 50.35055,15.92684 50.35058,15.92686 50.3506,15.92685 50.35062,15.92683 50.35064,15.92682 50.35067,15.92684 50.35084,15.92682 50.351,15.92678 50.35105,15.92667 50.35117,15.92666 50.3512,15.92666 50.35126,15.92673 50.35137,15.92675 50.35142,15.92676 50.35153,15.92675 50.35159,15.92673 50.35168,15.92668 50.35171,15.9267 50.35174,15.92668 50.3518,15.92662 50.35186,15.92657 50.35196,15.92652 50.352,15.92645 50.35211,15.92643 50.35222,15.9264 50.35223,15.92634 50.35222,15.92631 50.35223,15.9263 50.35226,15.92635 50.35234,15.92635 50.35237,15.92634 50.35239,15.92626 50.35243,15.9262 50.35248,15.9262 50.35246,15.926 50.35263,15.92579 50.35275,15.92567 50.35281,15.9256 50.35284,15.92554 50.35287,15.92542 50.35293,15.92528 50.35296,15.92521 50.35299,15.92515 50.35303,15.92512 50.35303,15.92504 50.35306,15.92501 50.35309,15.92499 50.35313,15.9249 50.35315,15.92486 50.35317,15.92486 50.35322,15.92493 50.35326,15.92499 50.35328,15.92502 50.35334,15.92502 50.35336,15.92499 50.35339,15.92495 50.35346,15.92493 50.35347,15.92484 50.35345,15.92482 50.35344,15.92471 50.35344,15.92465 50.35343,15.92462 50.35344,15.92461 50.35345,15.9246 50.35347,15.92457 50.35349,15.92461 50.35356,15.92462 50.35364,15.92461 50.35367,15.92462 50.35373,15.9246 50.35375,15.92445 50.35375,15.92442 50.35376,15.92439 50.35375,15.92435 50.35371,15.92432 50.35365,15.92422 50.35357,15.92422 50.35355,15.92429 50.35352,15.9243 50.3535,15.9243 50.35347,15.92424 50.35348,15.92414 50.35354,15.92408 50.35356,15.92397 50.35361,15.92391 50.35362,15.92388 50.35364,15.9238 50.35368,15.92371 50.35371,15.92343 50.35376,15.92337 50.35376,15.92319 50.35382,15.92315 50.35382,15.92314 50.35383,15.92301 50.35382,15.9229 50.35385,15.92285 50.35383,15.92273 50.35385,15.92271 50.35384,15.92262 50.35384,15.92259 50.35384,15.92252 50.35385,15.92236 50.35386,15.92236 50.35386,15.92231 50.35386,15.9223 50.35387,15.92228 50.35388,15.92226 50.35387,15.92223 50.35387,15.92221 50.35389,15.92218 50.35396,15.92218 50.35398,15.92217 50.35399,15.92213 50.35406,15.92214 50.35407,15.92213 50.35407,15.92209 50.35415,15.92209 50.35417,15.92208 50.35418,15.92205 50.35424,15.92205 50.35426,15.92203 50.35427,15.92201 50.35431,15.92198 50.35431,15.92197 50.35432,15.92193 50.35431,15.92181 50.35431,15.9218 50.35432,15.92176 50.35431,15.92161 50.35432,15.9216 50.35432,15.92149 50.35432,15.92148 50.35431,15.92133 50.35428,15.92129 50.35428,15.92128 50.35427,15.92117 50.35425,15.92116 50.35426,15.92101 50.3542,15.921 50.35421,15.92099 50.35419,15.92096 50.35418,15.92094 50.35418,15.92093 50.35417,15.9209 50.35416,15.92089 50.35416,15.92085 50.35414,15.92084 50.35414,15.9208 50.35412,15.92079 50.35412,15.92078 50.35412,15.92078 50.35411,15.92072 50.35408,15.9207 50.35408,15.9207 50.35406,15.92064 50.35403,15.92062 50.35403,15.92062 50.35402,15.92056 50.35399,15.92054 50.35399,15.92054 50.35398,15.92049 50.35395,15.92047 50.35395,15.92046 50.35394,15.92042 50.35392,15.92035 50.35391,15.92012 50.35392,15.92014 50.35392,15.92014 50.35395,15.92017 50.35395,15.9202 50.35394,15.92022 50.35398,15.92025 50.35399,15.92027 50.35398,15.92029 50.35398,15.92032 50.354,15.92028 50.35405,15.92027 50.35407,15.92027 50.35414,15.92026 50.35418,15.92028 50.35424,15.92028 50.35425,15.92022 50.35435,15.92013 50.3544,15.92004 50.35451,15.92003 50.3546,15.92004 50.35467,15.92004 50.35467,15.91998 50.35466,15.91995 50.35466,15.91981 50.35464,15.91973 50.35461,15.91968 50.35462,15.91968 50.35464,15.91962 50.35464,15.91958 50.35461,15.91952 50.35458,15.91943 50.35457,15.9194 50.35457,15.91936 50.35455,15.91922 50.35495,15.91922 50.35497,15.91931 50.35502,15.91959 50.35512,15.91973 50.35515,15.91983 50.35519,15.91991 50.3552,15.91994 50.35522,15.92023 50.35529,15.92024 50.3553,15.92026 50.3553,15.92028 50.35532,15.9204 50.35533,15.9204 50.35535,15.92042 50.35535,15.92043 50.35536,15.92052 50.35538,15.92056 50.35541,15.9206 50.35543,15.92068 50.35544,15.92075 50.35547,15.9208 50.35547,15.92085 50.35543,15.92085 50.35542,15.92087 50.35541,15.92094 50.35537,15.92099 50.35538,15.92104 50.35537,15.92112 50.35532,15.92113 50.35531,15.92117 50.35529,15.92125 50.35524,15.92125 50.35522,15.92127 50.35522,15.92137 50.35516,15.92138 50.35514,15.9214 50.35514,15.92144 50.35511,15.92148 50.35511,15.92151 50.35509,15.92168 50.35507,15.92169 50.35506,15.92185 50.35504,15.92187 50.35503,15.92188 50.35504,15.92193 50.35503,15.92195 50.35502,15.92197 50.35503,15.92204 50.35502,15.92207 50.35501,15.92212 50.355,15.92218 50.35497,15.92225 50.35498,15.92229 50.355,15.92233 50.35499,15.92234 50.355,15.92261 50.355,15.92281 50.35502,15.92306 50.35506,15.92308 50.35505,15.92309 50.35506,15.92322 50.35509,15.92324 50.35508,15.92326 50.35509,15.92339 50.35512,15.92343 50.35511,15.92349 50.35513,15.92348 50.35513,15.92356 50.35515,15.9236 50.35514,15.92378 50.35516,15.924 50.35517,15.92402 50.35516,15.92409 50.35517,15.92431 50.35515,15.92432 50.35514,15.92438 50.35514,15.92438 50.35487,15.92431 50.35484,15.92422 50.35484,15.92416 50.35487,15.92403 50.35485,15.92396 50.35485,15.92383 50.35483,15.92377 50.35483,15.92374 50.35482,15.92363 50.35481,15.92352 50.35479,15.92349 50.3548,15.92347 50.3548,15.92337 50.35476,15.92338 50.35474,15.92342 50.35473,15.92348 50.35474,15.9235 50.35476,15.92359 50.35476,15.92389 50.35479,15.92409 50.35479,15.92426 50.35477,15.92433 50.35474,15.92437 50.35458,15.92438 50.35449,15.92437 50.35441,15.9244 50.35424,15.92434 50.35412,15.92434 50.35407,15.92433 50.35401,15.92434 50.35396,15.92433 50.35393,15.92434 50.35389,15.92437 50.35388,15.9244 50.35387,15.92443 50.35384,15.92445 50.35383,15.92452 50.35383,15.92454 50.35385,15.92459 50.35387,15.9246 50.35388,15.92465 50.35389,15.92467 50.35386,15.92468 50.35386,15.92477 50.35387,15.92496 50.35385,15.92519 50.35385,15.92523 50.35386,15.92543 50.35386,15.92543 50.35393,15.92545 50.35393,15.92544 50.35395,15.92543 50.35396,15.92543 50.35405,15.92545 50.35406,15.92545 50.3541,15.92543 50.35411,15.92544 50.3542,15.92546 50.35421,15.92545 50.35423,15.92544 50.35423,15.92544 50.35432,15.92546 50.35433,15.92546 50.35435,15.92544 50.35436,15.92544 50.35447,15.92546 50.35448,15.92546 50.3545,15.92544 50.35451,15.92545 50.35459,15.92547 50.3546,15.92547 50.35461,15.92547 50.35462,15.92545 50.35463,15.92545 50.35467,15.92548 50.3547,15.92544 50.35472,15.92537 50.35472,15.92531 50.35473,15.92525 50.35473,15.92522 50.35475,15.92514 50.35474,15.92511 50.35476,15.92503 50.35475,15.92502 50.35477,15.92494 50.35477,15.92493 50.35478,15.92491 50.35478,15.92482 50.35477,15.92482 50.35479,15.92478 50.35479,15.92477 50.35481,15.92463 50.35482,15.92456 50.35485,15.92453 50.35484,15.92444 50.35486,15.92444 50.35513,15.92445 50.35513,15.92451 50.35513,15.92454 50.35512,15.92463 50.35511,15.92465 50.3551,15.92467 50.3551,15.92472 50.3551,15.92474 50.35509,15.92475 50.35509,15.92501 50.35506,15.92503 50.35505,15.92504 50.35506,15.9251 50.35505,15.92512 50.35504,15.92513 50.35505,15.92519 50.35504,15.9252 50.35503,15.92522 50.35504,15.92556 50.355,15.92558 50.35499,15.9256 50.35499,15.92565 50.35498,15.92567 50.35498,15.92568 50.35498,15.92604 50.35493,15.92631 50.35491,15.92633 50.3549,15.92635 50.3549,15.9266 50.35487,15.92662 50.35487,15.92669 50.35486,15.92671 50.35485,15.92672 50.35486,15.92678 50.35485,15.92679 50.35484,15.92681 50.35485,15.92707 50.35482,15.92708 50.35481,15.92715 50.35481,15.92717 50.3548,15.92718 50.3548,15.92753 50.35476,15.92755 50.35475,15.92756 50.35476,15.92763 50.35474,15.92764 50.35475,15.92771 50.35474,15.92772 50.35473,15.92773 50.35474,15.92836 50.35466,15.92887 50.35459,15.92894 50.35456,15.92897 50.35457,15.92899 50.35455,15.92903 50.35455,15.92914 50.35453,15.92918 50.35451,15.9292 50.35452,15.92922 50.3545,15.92926 50.3545,15.92931 50.35449,15.92936 50.35446,15.9294 50.35446,15.92944 50.35444,15.92949 50.35443,15.92952 50.35441,15.92957 50.35441,15.92969 50.35437,15.92976 50.35434,15.92977 50.35432,15.92982 50.35431,15.93004 50.35421,15.93004 50.3542,15.93016 50.35415,15.9304 50.35402,15.93043 50.35403,15.93045 50.35402,15.93049 50.35405,15.93049 50.35406,15.93048 50.35407,15.93049 50.35412,15.93051 50.35413,15.9305 50.35414,15.93051 50.35419)))"
"100010000100","Labe","Labe","MULTIPOLYGON(((15.81212 50.15865,15.81211 50.15859,15.81209 50.1586,15.81209 50.15862,15.81212 50.15865)))"
"100010000100","Labe","Labe","MULTIPOLYGON(((15.72269 50.53867,15.72265 50.53868,15.72269 50.53868,15.72269 50.53867)))"
"100820000100","Běluňka","Labe","MULTIPOLYGON(((15.94672 50.39458,15.94671 50.39451,15.94665 50.39433,15.9465 50.39407,15.94636 50.39408,15.94638 50.39417,15.94651 50.39443,15.94655 50.39446,15.94658 50.3946,15.94672 50.39458)))"
"100010000100","Labe","Labe","MULTIPOLYGON(((15.71138 50.5405,15.71137 50.54044,15.7114 50.54043,15.71143 50.54043,15.71145 50.54044,15.71148 50.54047,15.7115 50.54047,15.71152 50.54047,15.71154 50.54046,15.71159 50.54046,15.71161 50.54044,15.71162 50.54035,15.71164 50.54034,15.71169 50.54037,15.71171 50.54036,15.71173 50.54032,15.71176 50.54032,15.71181 50.54037,15.71179 50.54038,15.71179 50.54039,15.71183 50.54039,15.71185 50.54038,15.71192 50.54037,15.71203 50.54033,15.71204 50.54031,15.71204 50.5403,15.71199 50.54028,15.71195 50.54028,15.71193 50.54027,15.71193 50.54027,15.71198 50.54026,15.71207 50.54022,15.71211 50.54022,15.71217 50.54019,15.71222 50.54019,15.71233 50.54015,15.71237 50.54015,15.71245 50.54011,15.71252 50.5401,15.71266 50.54005,15.71269 50.54005,15.71277 50.54004,15.71297 50.53997,15.71311 50.53992,15.71316 50.53992,15.71319 50.53991,15.7132 50.53988,15.71318 50.53986,15.71318 50.53981,15.71315 50.53973,15.71315 50.53969,15.71313 50.53962,15.71309 50.5396,15.71298 50.53961,15.71294 50.53963,15.71293 50.53962,15.71295 50.5396,15.71297 50.53959,15.713 50.53959,15.71302 50.53957,15.71308 50.53957,15.71309 50.53956,15.71315 50.53955,15.71321 50.53956,15.71324 50.53955,15.71337 50.53956,15.7135 50.53955,15.71352 50.53956,15.71361 50.53956,15.71367 50.53955,15.71381 50.53955,15.71386 50.53956,15.71398 50.53956,15.71403 50.53956,15.7141 50.53957,15.71423 50.53959,15.71425 50.5396,15.71433 50.5396,15.71435 50.53961,15.71453 50.53965,15.71455 50.53966,15.71467 50.53968,15.71469 50.53969,15.71476 50.5397,15.71487 50.53976,15.71493 50.53977,15.71508 50.53983,15.71544 50.53993,15.71593 50.54005,15.71626 50.54011,15.7167 50.54019,15.71737 50.54026,15.71776 50.5403,15.71787 50.54031,15.7184 50.54035,15.71877 50.54038,15.71913 50.54041,15.71918 50.54039,15.7192 50.54015,15.71916 50.54012,15.71902 50.54011,15.71896 50.54012,15.71887 50.54011,15.71845 50.54009,15.7183 50.54007,15.71823 50.54006,15.71803 50.54005,15.71798 50.54004,15.71778 50.54002,15.71759 50.54001,15.71756 50.54,15.71744 50.54,15.71717 50.53997,15.71711 50.53996,15.71703 50.53996,15.71697 50.53994,15.71694 50.53994,15.71692 50.53993,15.71683 50.53993,15.71674 50.53991,15.7167 50.53989,15.71657 50.5398,15.71641 50.53979,15.71612 50.53978,15.71609 50.53977,15.71601 50.53976,15.71599 50.53975,15.71588 50.53973,15.71571 50.5397,15.71565 50.53969,15.7156 50.53969,15.71558 50.53967,15.71544 50.53965,15.71532 50.53961,15.71513 50.53956,15.71475 50.53948,15.71464 50.53946,15.71459 50.53944,15.71437 50.53941,15.71405 50.53936,15.71402 50.53935,15.71393 50.53936,15.71359 50.53934,15.71356 50.53934,15.71345 50.53934,15.71337 50.53934,15.71319 50.53934,15.71308 50.53936,15.71295 50.53936,15.71263 50.5394,15.71246 50.53944,15.71238 50.53944,15.71235 50.53946,15.7123 50.53948,15.71198 50.53954,15.71165 50.53962,15.7106 50.53994,15.71006 50.54012,15.70978 50.54022,15.70963 50.54029,15.70922 50.54051,15.70913 50.54053,15.70909 50.54055,15.70906 50.54057,15.70907 50.54061,15.70906 50.54063,15.70895 50.54071,15.70886 50.54075,15.70867 50.5408,15.70845 50.54092,15.70838 50.54096,15.70808 50.54115,15.708 50.54119,15.70782 50.5413,15.70779 50.54131,15.70776 50.54134,15.7077 50.54138,15.70763 50.54143,15.7075 50.5415,15.70725 50.54167,15.7072 50.54169,15.70711 50.54171,15.70707 50.54172,15.707 50.54181,15.70686 50.54193,15.70669 50.54204,15.70665 50.54207,15.70665 50.54213,15.70661 50.54216,15.7066 50.54219,15.70663 50.54225,15.70661 50.54229,15.70665 50.54233,15.70666 50.54238,15.70669 50.54242,15.70669 50.54247,15.7067 50.5425,15.70676 50.54257,15.70679 50.54263,15.70684 50.54267,15.70684 50.54269,15.70687 50.54272,15.70683 50.54277,15.70682 50.54283,15.70679 50.54286,15.70676 50.54292,15.70671 50.54295,15.70671 50.54297,15.70676 50.54294,15.70679 50.54294,15.7068 50.54295,15.70675 50.54309,15.70674 50.54313,15.70675 50.54317,15.70672 50.54329,15.70672 50.54334,15.70666 50.54339,15.70663 50.54343,15.70672 50.54347,15.70673 50.54349,15.7067 50.54358,15.70671 50.5436,15.70677 50.54364,15.70676 50.54366,15.70674 50.54367,15.70674 50.54369,15.70678 50.54375,15.70679 50.54378,15.70682 50.54385,15.70687 50.54389,15.7069 50.54395,15.70698 50.54395,15.70698 50.54401,15.70694 50.54404,15.70685 50.54404,15.70683 50.54405,15.70677 50.54409,15.70672 50.54413,15.7067 50.54418,15.70672 50.5443,15.70674 50.54434,15.70679 50.54435,15.70684 50.54446,15.7068 50.54447,15.70674 50.54448,15.70672 50.5445,15.70674 50.54467,15.7067 50.54469,15.70662 50.54471,15.7066 50.54473,15.7066 50.54475,15.70659 50.54476,15.70657 50.54477,15.70654 50.54477,15.70651 50.5448,15.70652 50.54481,15.70649 50.54486,15.7065 50.54498,15.70648 50.54499,15.70636 50.54501,15.70627 50.54503,15.70624 50.54504,15.70606 50.54505,15.70598 50.54508,15.70594 50.5451,15.70593 50.54513,15.70597 50.54519,15.70598 50.54524,15.70603 50.54525,15.70605 50.54529,15.70602 50.54532,15.70601 50.54537,15.70601 50.54539,15.706 50.54541,15.70601 50.54544,15.70597 50.5455,15.70597 50.54553,15.70594 50.54558,15.70595 50.54561,15.70602 50.54561,15.7061 50.5456,15.70612 50.54559,15.70626 50.54555,15.70632 50.54553,15.70639 50.54551,15.70643 50.54549,15.7065 50.54548,15.7066 50.54542,15.70674 50.5454,15.70684 50.54536,15.70685 50.54535,15.70686 50.54529,15.7068 50.54517,15.70678 50.54514,15.70679 50.54507,15.70677 50.54503,15.70689 50.545,15.70701 50.54499,15.70705 50.545,15.70697 50.54508,15.70694 50.54508,15.70691 50.5451,15.70685 50.54508,15.70683 50.54509,15.70685 50.5451,15.7069 50.5451,15.70696 50.54511,15.70699 50.54516,15.70702 50.54524,15.70703 50.54543,15.70742 50.54532,15.70744 50.5453,15.70745 50.54525,15.70747 50.54521,15.70746 50.5452,15.70746 50.54518,15.70747 50.54516,15.70752 50.54504,15.70755 50.54498,15.7076 50.54484,15.7076 50.5447,15.70762 50.54468,15.7076 50.54462,15.7076 50.54452,15.70758 50.54446,15.70758 50.54424,15.7076 50.54383,15.70764 50.54359,15.70771 50.54339,15.70776 50.54329,15.70784 50.54316,15.70794 50.54304,15.70802 50.54297,15.70827 50.54279,15.70871 50.54252,15.7088 50.54245,15.70893 50.54237,15.70904 50.54228,15.70918 50.54213,15.70938 50.54185,15.70945 50.54169,15.70953 50.54154,15.70957 50.54143,15.70959 50.5413,15.7096 50.54117,15.70958 50.54106,15.7096 50.54104,15.70964 50.54103,15.70964 50.54105,15.70977 50.541,15.70974 50.54096,15.70985 50.54093,15.70988 50.54093,15.7099 50.54092,15.70994 50.54092,15.71004 50.54089,15.71015 50.54085,15.71042 50.54079,15.71053 50.54076,15.71054 50.54073,15.71057 50.54072,15.71063 50.54073,15.71064 50.54072,15.71069 50.54072,15.71088 50.54068,15.71093 50.54066,15.71094 50.54065,15.71097 50.54065,15.71099 50.54063,15.71105 50.54062,15.71111 50.5406,15.71114 50.5406,15.71119 50.54058,15.7112 50.54058,15.71121 50.54056,15.71123 50.54056,15.71126 50.54054,15.71124 50.54047,15.71126 50.54046,15.71127 50.54047,15.71127 50.54045,15.71128 50.54045,15.71128 50.54047,15.71129 50.54048,15.71135 50.54051,15.71138 50.54052,15.71138 50.5405),(15.7071 50.54406,15.7071 50.54397,15.70707 50.54395,15.70704 50.54394,15.70702 50.54391,15.70709 50.54376,15.70718 50.54348,15.7072 50.54351,15.70717 50.54361,15.70716 50.54369,15.70718 50.54382,15.70717 50.54407,15.70714 50.54423,15.70714 50.54434,15.70712 50.54435,15.70713 50.54437,15.70712 50.54448,15.70707 50.54467,15.70709 50.54451,15.70708 50.54448,15.70709 50.54435,15.70709 50.5443,15.70711 50.54415,15.7071 50.5441,15.7071 50.54406),(15.70736 50.54299,15.7075 50.54282,15.70761 50.54272,15.70765 50.54269,15.70767 50.54269,15.70768 50.54267,15.70769 50.54267,15.70771 50.54265,15.70772 50.54265,15.70772 50.54266,15.70769 50.54267,15.70767 50.54271,15.7075 50.54288,15.7074 50.54302,15.70729 50.54323,15.70725 50.54333,15.70722 50.54343,15.7072 50.54344,15.70719 50.54345,15.7072 50.5434,15.70723 50.54333,15.70723 50.54326,15.70724 50.54324,15.70728 50.54313,15.70736 50.54299),(15.7089 50.54161,15.7089 50.5416,15.70889 50.54165,15.70882 50.54179,15.70879 50.5418,15.70876 50.54187,15.7087 50.54192,15.70869 50.54192,15.70871 50.54188,15.70877 50.54181,15.70879 50.54176,15.70887 50.54162,15.7089 50.54161),(15.70917 50.54077,15.70917 50.54077,15.70917 50.54078,15.7092 50.5408,15.7092 50.54083,15.7092 50.54084,15.70919 50.54087,15.7092 50.54094,15.70918 50.54096,15.70916 50.541,15.70912 50.54114,15.70908 50.54119,15.70908 50.54121,15.70902 50.54128,15.7091 50.54097,15.70911 50.54096,15.70914 50.54094,15.70916 50.54088,15.7091 50.54083,15.70917 50.54077),(15.70962 50.54081,15.70963 50.54079,15.70965 50.54078,15.70967 50.54073,15.70972 50.54071,15.70984 50.54056,15.70986 50.54054,15.71002 50.54048,15.71008 50.54047,15.71011 50.54045,15.71021 50.54041,15.71022 50.54042,15.71023 50.54044,15.71021 50.54061,15.71023 50.54064,15.71025 50.54064,15.71027 50.54064,15.71028 50.54063,15.71033 50.54063,15.71034 50.5406,15.71035 50.54061,15.71035 50.54065,15.71036 50.54069,15.71033 50.54073,15.71032 50.54073,15.71029 50.54072,15.71025 50.54071,15.71023 50.54074,15.71018 50.54075,15.71013 50.54075,15.71005 50.54079,15.71002 50.54079,15.71 50.54078,15.70997 50.54078,15.70993 50.5408,15.70981 50.54085,15.70977 50.54088,15.70977 50.54089,15.70974 50.54089,15.70972 50.54089,15.70969 50.54089,15.70964 50.54091,15.7096 50.54091,15.70962 50.54081)))"
